--------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\Nathan\Downloads\inpresrepli\log/tableA1.log
  log type:  text
 opened on:  24 Sep 2022, 16:54:38

. *use supa2,clear;
. use inpresdata, clear;

. *EDUCATION;
. anova yeduc birthpl p504th p504th*ch71 nin*p504th, reg cont(nin ch71) ;

      Source |       SS           df       MS      Number of obs   =   152,989
-------------+----------------------------------   F(355, 152633)  =    101.05
       Model |  497488.051       355  1401.37479   Prob > F        =    0.0000
    Residual |  2116793.81   152,633    13.86852   R-squared       =    0.1903
-------------+----------------------------------   Adj R-squared   =    0.1884
       Total |  2614281.87   152,988  17.0881498   Root MSE        =     3.724

------------------------------------------------------------------------------
       yeduc   Coefficient  Std. err.      t    P>|t|     [95% conf. interval]
------------------------------------------------------------------------------
_cons            7.028424   .4608631    15.25   0.000     6.125142    7.931707
birthpl
           1    -.5273669   .4842375    -1.09   0.276    -1.476463    .4217288
           2    -.3835634   .4939273    -0.78   0.437    -1.351651    .5845241
           3     -.380559   .4927721    -0.77   0.440    -1.346382    .5852643
           4    -.0958743   .4968433    -0.19   0.847    -1.069677    .8779284
           5    -.8009646   .4879807    -1.64   0.101    -1.757397    .1554676
           6     .2949542    .490054     0.60   0.547    -.6655416     1.25545
           7     .5697156   .4842983     1.18   0.239    -.3794991     1.51893
           8     .1676342   .4823345     0.35   0.728    -.7777316       1.113
           9     2.730793   .5040692     5.42   0.000     1.742828    3.718759
          10     .7333574   .5474576     1.34   0.180    -.3396484    1.806363
          11    -1.863348   .4844554    -3.85   0.000     -2.81287   -.9138251
          12     .6835121   .4809445     1.42   0.155    -.2591292    1.626153
          13    -.9901301   .5197759    -1.90   0.057     -2.00888      .02862
          14     2.354472    .478711     4.92   0.000     1.416208    3.292736
          15    -.5840045   .4901439    -1.19   0.233    -1.544676    .3766675
          16    -.4383685   .4841363    -0.91   0.365    -1.387266    .5105288
          17     .7194189   .4822117     1.49   0.136    -.2257062    1.664544
          18      .873572   .4943634     1.77   0.077    -.0953703    1.842514
          19     1.080233   .4948079     2.18   0.029       .11042    2.050047
          20     .4508091   .5094411     0.88   0.376     -.547685    1.449303
          21    -.0909083   .4847313    -0.19   0.851    -1.040972    .8591552
          22     1.328845   .5068216     2.62   0.009     .3354854    2.322205
          23     .2532744   .5099528     0.50   0.619    -.7462226    1.252771
          24     2.104148   .4850127     4.34   0.000     1.153533    3.054763
          25      .258418   .5446648     0.47   0.635    -.8091138     1.32595
          26     2.925709   .4726119     6.19   0.000       1.9994    3.852019
          27     .9498756   .5094477     1.86   0.062    -.0486314    1.948383
          28    -.1446913   .4877685    -0.30   0.767    -1.100708     .811325
          29     -.595798   .4863889    -1.22   0.221     -1.54911    .3575143
          30    -1.560807   .5063549    -3.08   0.002    -2.553252   -.5683615
          31     .5690654   .4871837     1.17   0.243    -.3858047    1.523936
          32      .005822   .4821794     0.01   0.990    -.9392398    .9508838
          33      .364998   .4872697     0.75   0.454    -.5900405    1.320037
          34    -.3641525   .4902629    -0.74   0.458    -1.325058    .5967527
          35    -.6072145   .4972422    -1.22   0.222    -1.581799      .36737
          36     2.124642   .4757017     4.47   0.000     1.192277    3.057008
          37     .5254494   .5381477     0.98   0.329    -.5293091    1.580208
          38     .8927513   .5254995     1.70   0.089     -.137217     1.92272
          39     1.615129    .522925     3.09   0.002     .5902062    2.640051
          40     2.393357   .4969011     4.82   0.000     1.419441    3.367273
          41     .2689361   .5034122     0.53   0.593    -.7177415    1.255614
          42    -.4160823   .4967879    -0.84   0.402    -1.389777    .5576119
          43    -.8760591   .4878993    -1.80   0.073    -1.832332    .0802135
          44    -.9135344   .4771271    -1.91   0.056    -1.848694    .0216249
          45    -.2714601   .4923193    -0.55   0.581    -1.236396    .6934756
          46     .0307111   .4840909     0.06   0.949    -.9180972    .9795194
          47      2.88835   .5089341     5.68   0.000      1.89085     3.88585
          48    -2.010751   .5562903    -3.61   0.000    -3.101069   -.9204339
          49     -.109648   .4887879    -0.22   0.823    -1.067662    .8483662
          50    -1.419772   .5065224    -2.80   0.005    -2.412545   -.4269984
          51    -.6404034   .5091249    -1.26   0.208    -1.638278    .3574709
          52    -1.838481    .495125    -3.71   0.000    -2.808916   -.8680465
          53    -1.867017   .5121557    -3.65   0.000    -2.870831   -.8632019
          54     1.477068   .5025584     2.94   0.003     .4920636    2.462072
          55    -.7553652   .4898296    -1.54   0.123    -1.715421    .2046909
          56    -1.132403     .48518    -2.33   0.020    -2.083346   -.1814604
          57     -.979515   .4882357    -2.01   0.045    -1.936447   -.0225831
          58    -.2194695   .4864623    -0.45   0.652    -1.172926    .7339867
          59    -.9543727   .4970089    -1.92   0.055      -1.9285    .0197546
          60    -1.039539   .4888184    -2.13   0.033    -1.997614   -.0814654
          61     -.601567   .4841834    -1.24   0.214    -1.550557    .3474225
          62     -1.01138   .4932127    -2.05   0.040    -1.978067   -.0446931
          63     1.944045   .4816869     4.04   0.000     .9999482    2.888141
          64     .5364366   .5044542     1.06   0.288    -.4522833    1.525156
          65    -.0051974   .4896087    -0.01   0.992    -.9648204    .9544256
          66    -.3813196   .4920998    -0.77   0.438    -1.345825    .5831859
          67    -2.703077   .5232811    -5.17   0.000    -3.728697   -1.677457
          68     1.778356   .5560301     3.20   0.001     .6885488    2.868164
          69    -.6542167   .5012041    -1.31   0.192    -1.636567    .3281332
          70    -.6806133    .497985    -1.37   0.172    -1.656654    .2954271
          71     -.561138   .5023728    -1.12   0.264    -1.545778    .4235023
          72    -.4115059    .544909    -0.76   0.450    -1.479516    .6565044
          73     .9219573   .4960208     1.86   0.063    -.0502333    1.894148
          74     2.938973   .4771031     6.16   0.000      2.00386    3.874085
          75     2.337333   .4722598     4.95   0.000     1.411713    3.262952
          76     3.258667   .4815822     6.77   0.000     2.314776    4.202558
          77     1.846973   .4715708     3.92   0.000     .9227038    2.771242
          78      1.78302   .4760492     3.75   0.000     .8499735    2.716067
          79     -1.94016   .4844736    -4.00   0.000    -2.889718   -.9906016
          80    -2.113033   .4890896    -4.32   0.000    -3.071638   -1.154427
          81    -.3859583    .510902    -0.76   0.450    -1.387316    .6153992
          82    -1.153178   .4945343    -2.33   0.020    -2.122456   -.1839013
          83    -1.146693    .492867    -2.33   0.020    -2.112702   -.1806836
          84     .5103662   .5218146     0.98   0.328    -.5123796    1.533112
          85    -.4058373   .4917862    -0.83   0.409    -1.369728    .5580536
          86    -.2233449   .4946321    -0.45   0.652    -1.192814    .7461238
          87    -.3590031   .4905279    -0.73   0.464    -1.320428    .6024216
          88    -.4702102   .4840064    -0.97   0.331    -1.418853    .4784323
          89    -.9947311   .4832108    -2.06   0.040    -1.941814   -.0476478
          90    -1.104693   .4844417    -2.28   0.023    -2.054188   -.1551967
          91    -.5717123   .4847152    -1.18   0.238    -1.521744    .3783196
          92    -2.982726   .4877762    -6.11   0.000    -3.938758   -2.026695
          93    -1.807533   .4849028    -3.73   0.000    -2.757933   -.8571337
          94    -1.164935   .4942248    -2.36   0.018    -2.133605   -.1962644
          95    -2.244038   .4863201    -4.61   0.000    -3.197216   -1.290861
          96     -2.18712   .4920167    -4.45   0.000    -3.151463   -1.222777
          97    -2.107059   .4933931    -4.27   0.000    -3.074099   -1.140018
          98    -1.263785   .4812044    -2.63   0.009    -2.206936   -.3206343
          99     1.806876    .491702     3.67   0.000     .8431507    2.770602
          100    1.336942   .4958076     2.70   0.007     .3651695    2.308715
          101     3.25028   .4907098     6.62   0.000     2.288499    4.212061
          102    .2617899   .4923594     0.53   0.595    -.7032243    1.226804
          103    .4795248   .5349906     0.90   0.370    -.5690459    1.528095
          104    -.981733   .4908493    -2.00   0.045    -1.943788   -.0196783
          105   -.5549219    .483646    -1.15   0.251    -1.502858    .3930143
          106   -1.363051   .4847892    -2.81   0.005    -2.313228   -.4128741
